,Date,AAPL,BAC,DJI,DOW,JPM,MSFT,NFLX,NIO,V
0,2020-01-02,73.84004211425781,34.70914077758789,,50.524139404296875,136.14588928222656,158.936279296875,329.80999755859375,3.7200000286102295,189.95077514648438
1,2020-01-03,73.12215423583984,33.98847198486328,28634.900390625,49.27396011352539,134.3492431640625,156.95726013183594,325.8999938964844,3.8299999237060547,188.44007873535156
2,2020-01-06,73.70481872558594,33.93977355957031,28703.400390625,49.07656478881836,134.242431640625,157.3629608154297,335.8299865722656,3.680000066757202,188.0325927734375
3,2020-01-07,73.35818481445312,33.715782165527344,28583.69921875,49.05776596069336,131.96022033691406,155.9281768798828,330.75,3.240000009536743,187.53565979003906
4,2020-01-08,74.53823852539062,34.056640625,28745.099609375,49.56535720825195,132.98963928222656,158.41183471679688,339.260009765625,3.390000104904175,190.74588012695312
5,2020-01-09,76.12149810791016,34.115074157714844,28956.900390625,49.05776596069336,133.4752197265625,160.390869140625,335.6600036621094,3.4600000381469727,192.0677490234375
6,2020-01-10,76.2935791015625,33.8326530456543,28823.80078125,48.4091796875,132.14474487304688,159.6487274169922,329.04998779296875,3.509999990463257,192.58457946777344
7,2020-01-13,77.92353820800781,34.14429473876953,28907.099609375,49.20816421508789,133.24212646484375,161.5684051513672,338.9200134277344,3.700000047683716,194.13504028320312
8,2020-01-14,76.87132263183594,34.39750289916992,28939.69921875,49.10476303100586,134.79598999023438,160.43045043945312,338.69000244140625,3.759999990463257,194.8506317138672
9,2020-01-15,76.54188537597656,33.76447677612305,29030.19921875,49.13296890258789,132.77598571777344,161.46945190429688,339.07000732421875,4.289999961853027,198.5776824951172
10,2020-01-16,77.50069427490234,33.81317138671875,29297.599609375,49.33036422729492,133.29067993164062,164.42811584472656,338.6199951171875,4.369999885559082,199.7206573486328
11,2020-01-17,78.35869598388672,33.803428649902344,29348.099609375,50.13874816894531,134.21328735351562,165.34835815429688,339.6700134277344,4.670000076293945,203.4477081298828
12,2020-01-21,77.82766723632812,33.36518478393555,29196.0,49.44316101074219,132.8925323486328,164.75465393066406,338.1099853515625,5.170000076293945,206.02186584472656
13,2020-01-22,78.10547637939453,33.46257781982422,29186.30078125,47.816986083984375,132.7371368408203,163.96304321289062,326.0,4.789999961853027,206.62814331054688
14,2020-01-23,78.48162078857422,33.228843688964844,29160.099609375,47.23419952392578,132.60116577148438,164.97235107421875,349.6000061035156,4.920000076293945,205.256591796875
15,2020-01-24,78.25543975830078,32.663997650146484,28989.69921875,45.579830169677734,129.3089599609375,163.30995178222656,353.1600036621094,4.659999847412109,203.74588012695312
16,2020-01-27,75.95431518554688,31.99201011657715,28535.80078125,44.34844970703125,128.22128295898438,160.57888793945312,342.8800048828125,4.010000228881836,200.4561309814453
17,2020-01-28,78.10301208496094,32.371829986572266,28722.80078125,44.32965087890625,130.55203247070312,163.72555541992188,348.5199890136719,4.210000038146973,201.60902404785156
18,2020-01-29,79.73789978027344,32.147830963134766,28734.400390625,46.68901062011719,130.35780334472656,166.27850341796875,343.1600036621094,4.269999980926514,203.60671997070312
19,2020-01-30,79.6223373413086,32.60555648803711,28859.400390625,45.56102752685547,131.9699249267578,170.9688262939453,347.739990234375,4.079999923706055,206.93624877929688
20,2020-01-31,76.09199523925781,31.9725399017334,28256.0,43.30506134033203,128.541748046875,168.445556640625,345.0899963378906,3.7799999713897705,197.75274658203125
21,2020-02-03,75.88301849365234,32.10887908935547,28399.80078125,43.93485641479492,129.5226287841797,172.5520477294922,358.0,4.059999942779541,199.58151245117188
22,2020-02-04,78.38819885253906,32.74189758300781,28807.599609375,45.16623306274414,131.38722229003906,178.23187255859375,369.010009765625,4.510000228881836,202.31466674804688
23,2020-02-05,79.02740478515625,33.803428649902344,29290.900390625,46.63261032104492,133.62088012695312,178.01419067382812,369.6700134277344,4.389999866485596,201.5692596435547
24,2020-02-06,79.95177459716797,33.76447677612305,29379.80078125,46.24721908569336,133.6403045654297,181.70509338378906,366.95001220703125,4.079999923706055,201.7978515625
25,2020-02-07,78.86502075195312,33.7060432434082,29102.5,45.147430419921875,133.21299743652344,181.9623565673828,366.7699890136719,3.809999942779541,201.49969482421875
26,2020-02-10,79.23959350585938,33.78395462036133,29276.80078125,45.297828674316406,133.76657104492188,186.72193908691406,371.07000732421875,3.869999885559082,204.72982788085938
27,2020-02-11,78.76152038574219,33.86186599731445,29276.30078125,45.86182403564453,134.01905822753906,182.50660705566406,373.69000244140625,3.9600000381469727,202.69236755371094
28,2020-02-12,80.63192749023438,34.00794982910156,29551.400390625,46.416412353515625,134.01905822753906,182.77377319335938,380.010009765625,4.070000171661377,206.1709442138672
29,2020-02-13,80.0577392578125,33.998207092285156,29423.30078125,45.4012336730957,133.90252685546875,181.78427124023438,381.3999938964844,4.03000020980835,206.42971801757812
30,2020-02-14,80.07746124267578,33.93977355957031,29398.099609375,45.71142578125,133.49464416503906,183.4070587158203,380.3999938964844,3.7699999809265137,209.3061981201172
31,2020-02-18,78.61119842529297,33.37492752075195,29232.19921875,44.874839782714844,131.72714233398438,185.26736450195312,387.7799987792969,3.799999952316284,210.21194458007812
32,2020-02-19,79.74970245361328,33.81317138671875,29348.0,44.70563888549805,133.52378845214844,185.822998046875,386.19000244140625,4.079999923706055,212.31207275390625
33,2020-02-20,78.93156433105469,33.93977355957031,29220.0,45.833621978759766,133.52378845214844,182.9852294921875,386.0,4.260000228881836,210.46078491210938
34,2020-02-21,77.14494323730469,33.46257781982422,28992.400390625,45.4012336730957,131.89222717285156,177.2006072998047,380.07000732421875,4.079999923706055,207.8331298828125
