date,unemployment,stocks,crisis,dow jones
2020-01-03,4,29,31,14
2020-01-04,3,20,32,3
2020-01-05,5,18,31,1
2020-01-06,7,26,38,12
2020-01-07,6,26,39,12
2020-01-08,5,27,40,14
2020-01-09,4,26,37,12
2020-01-10,4,24,34,12
2020-01-11,2,16,29,3
2020-01-12,5,16,31,1
2020-01-13,6,25,37,10
2020-01-14,5,27,46,11
2020-01-15,5,26,100,13
2020-01-16,4,28,62,13
2020-01-17,4,25,47,13
2020-01-18,3,18,38,3
2020-01-19,4,16,38,1
2020-01-20,5,19,38,6
2020-01-21,6,25,38,11
2020-01-22,5,24,38,12
2020-01-23,5,26,36,11
2020-01-24,4,25,33,11
2020-01-25,3,17,27,3
2020-01-26,5,17,27,1
2020-01-27,6,24,33,14
2020-01-28,5,24,33,14
2020-01-29,5,26,33,12
2020-01-30,4,27,32,14
2020-01-31,4,26,30,15
2020-02-01,2,19,25,4
2020-02-02,4,18,27,2
2020-02-03,6,25,32,13
2020-02-04,5,32,33,14
2020-02-05,5,32,34,15
2020-02-06,4,31,34,15
2020-02-07,4,28,31,13
2020-02-08,3,18,27,3
2020-02-09,5,18,27,1
2020-02-10,6,27,33,11
2020-02-11,4,28,34,12
2020-02-12,4,28,33,13
2020-02-13,4,29,33,13
2020-02-14,3,25,29,12
2020-02-15,2,17,25,3
2020-02-16,4,17,27,1
2020-02-17,5,20,31,6
2020-02-18,5,26,34,11
2020-02-19,4,31,35,11
2020-02-20,4,29,34,12
2020-02-21,4,28,30,13
2020-02-22,2,19,26,3
2020-02-23,4,18,27,1
2020-02-24,6,35,35,27
2020-02-25,4,40,34,33
2020-02-26,4,37,35,34
2020-02-27,4,44,34,44
2020-02-28,3,63,33,62
2020-02-29,2,34,25,12
2020-03-01,4,26,27,6
2020-03-02,5,42,36,45
2020-03-03,4,41,39,46
2020-03-04,4,37,36,39
2020-03-05,4,39,36,40
2020-03-06,3,43,38,43
2020-03-07,2,26,29,9
2020-03-08,4,25,33,4
2020-03-09,5,77,45,75
2020-03-10,4,66,44,72
2020-03-11,4,57,45,67
2020-03-12,5,100,54,100
2020-03-13,6,100,50,94
2020-03-14,5,52,45,18
2020-03-15,8,49,48,11
2020-03-16,25,88,58,95
2020-03-17,35,81,65,89
2020-03-18,40,85,71,87
2020-03-19,42,85,71,81
2020-03-20,47,83,69,68
2020-03-21,31,54,59,16
2020-03-22,34,49,61,10
2020-03-23,59,70,71,71
2020-03-24,52,75,70,69
2020-03-25,59,78,64,73
2020-03-26,75,76,67,66
2020-03-27,72,64,67,65
2020-03-28,55,43,59,12
2020-03-29,58,40,58,7
2020-03-30,93,56,63,50
2020-03-31,90,53,66,52
2020-04-01,85,53,66,50
2020-04-02,89,51,65,50
2020-04-03,81,50,63,44
2020-04-04,52,38,54,9
2020-04-05,63,34,51,5
2020-04-06,88,47,58,42
2020-04-07,82,51,54,50
2020-04-08,76,54,55,48
2020-04-09,79,58,54,49
2020-04-10,74,42,48,25
2020-04-11,47,33,45,7
2020-04-12,59,33,44,5
2020-04-13,100,50,53,37
2020-04-14,87,54,54,39
2020-04-15,83,56,55,41
2020-04-16,74,54,55,40
2020-04-17,66,56,50,37
2020-04-18,45,39,45,8
2020-04-19,71,35,47,5
2020-04-20,86,69,55,38
2020-04-21,79,68,57,42
2020-04-22,72,56,55,36
2020-04-23,69,55,53,35
2020-04-24,61,50,51,32
2020-04-25,44,35,43,7
2020-04-26,69,34,43,4
2020-04-27,86,49,52,29
2020-04-28,73,53,52,32
2020-04-29,64,59,49,32
2020-04-30,59,61,49,32
2020-05-01,57,48,47,33
2020-05-02,38,35,39,7
