date,debt,loan,job,unemployment,economics,inflation,sell,bonds,gold,stocks,dow jones,crisis,finance,risk,leverage
2020-01-01,46,53,50,33,26,58,84,41,87,49,20,22,41,37,62
2020-01-02,72,97,80,64,34,74,94,61,89,88,67,28,86,68,73
2020-01-03,76,99,81,65,37,70,93,56,89,100,94,29,94,69,46
2020-01-04,56,76,65,32,34,55,100,50,96,68,16,29,46,55,44
2020-01-05,60,68,62,74,29,64,96,45,92,61,7,30,33,55,72
2020-01-06,81,92,93,100,53,72,92,63,89,78,74,41,88,72,83
2020-01-07,86,92,94,82,76,88,88,73,89,85,74,48,91,87,74
2020-01-08,77,84,97,67,74,80,83,70,92,95,92,48,87,83,82
2020-01-09,82,87,93,62,78,84,86,72,85,86,79,35,93,85,62
2020-01-10,84,97,88,56,69,84,84,74,85,89,81,39,93,77,100
2020-01-11,57,70,66,34,33,66,95,48,96,54,15,29,47,48,66
2020-01-12,51,62,63,67,43,68,97,47,91,55,5,28,34,49,55
2020-01-13,79,92,92,90,82,83,87,71,83,85,65,41,82,82,84
2020-01-14,84,90,95,75,78,100,83,79,82,90,73,45,86,90,85
2020-01-15,91,90,100,65,84,98,82,82,80,84,82,100,92,91,80
2020-01-16,86,93,89,56,84,100,82,78,85,91,81,60,93,83,91
2020-01-17,84,90,80,59,70,79,81,77,83,90,83,46,93,82,72
2020-01-18,62,73,67,35,41,72,95,52,90,57,16,35,46,48,56
2020-01-19,54,61,60,67,36,59,90,52,89,54,6,34,31,48,73
2020-01-20,63,83,79,77,45,70,94,57,88,64,32,35,60,78,86
2020-01-21,77,92,96,87,98,92,82,85,85,75,69,41,91,89,65
2020-01-22,84,90,95,76,97,82,88,100,80,90,73,38,92,90,93
2020-01-23,84,89,95,64,87,92,84,97,80,88,69,38,87,100,76
2020-01-24,96,100,87,59,76,93,83,81,83,82,69,35,92,86,68
2020-01-25,68,81,68,31,42,75,93,59,100,51,15,28,43,61,80
2020-01-26,59,63,60,67,41,60,89,57,86,48,6,24,35,54,58
2020-01-27,84,89,83,85,85,82,77,90,80,80,82,32,82,93,64
2020-01-28,100,93,95,72,100,94,85,89,81,82,84,36,88,100,91
2020-01-29,94,87,96,60,94,90,82,81,80,88,79,34,88,92,77
2020-01-30,92,87,93,62,88,97,85,82,82,94,87,35,100,96,89
2020-01-31,81,97,83,55,76,87,83,87,82,93,100,30,96,87,75
2020-02-01,69,83,67,37,41,46,97,60,92,26,5,53,33,55,47
2020-02-02,56,70,60,81,51,70,95,56,87,23,2,59,21,52,52
2020-02-03,77,89,81,95,84,86,81,91,75,39,22,76,59,76,60
2020-02-04,93,96,99,77,100,77,86,100,78,49,24,87,64,85,65
2020-02-05,94,92,95,87,94,79,86,96,81,48,25,87,63,84,68
2020-02-06,88,90,94,72,88,79,83,90,81,46,24,87,61,85,88
2020-02-07,82,90,85,63,84,71,83,81,83,41,22,88,61,75,61
2020-02-08,75,86,68,39,42,59,95,54,92,29,4,64,29,56,59
2020-02-09,70,67,69,80,62,59,98,60,93,24,2,66,22,54,60
2020-02-10,94,92,90,100,86,87,83,93,83,38,18,86,59,84,72
2020-02-11,95,100,98,73,93,85,88,90,81,44,20,90,61,84,64
2020-02-12,97,98,98,65,97,87,85,96,81,43,21,96,61,85,76
2020-02-13,93,90,96,59,91,84,82,87,82,46,22,91,62,87,75
2020-02-14,77,84,81,52,73,68,86,72,85,37,20,76,61,75,79
2020-02-15,64,87,62,33,39,63,94,53,94,25,4,57,33,54,53
2020-02-16,66,74,63,74,49,66,97,60,92,28,1,64,23,59,72
2020-02-17,77,87,82,84,66,70,90,69,86,28,9,83,42,77,74
2020-02-18,96,95,100,84,84,83,84,83,81,37,19,87,59,87,85
2020-02-19,98,93,100,75,99,81,83,90,84,44,19,90,63,88,100
2020-02-20,92,90,93,62,100,76,82,91,90,43,20,93,63,99,87
2020-02-21,87,99,85,56,75,68,84,79,89,41,20,88,62,84,69
2020-02-22,71,86,67,34,41,69,93,56,97,28,4,58,30,54,44
2020-02-23,72,74,68,74,59,66,95,58,94,25,2,69,24,65,62
2020-02-24,94,90,92,93,91,100,90,94,97,54,44,99,70,89,74
2020-02-25,100,94,93,71,97,91,85,85,95,62,56,97,76,88,71
2020-02-26,97,91,92,59,97,86,84,92,90,57,58,95,80,100,68
2020-02-27,100,90,94,57,94,82,88,94,92,75,74,100,86,96,79
2020-02-28,82,91,85,52,84,82,87,96,95,100,100,95,100,90,75
2020-02-29,67,90,64,28,41,56,100,61,100,51,16,58,38,67,60
2020-03-01,63,49,66,4,50,78,99,64,94,24,5,38,25,46,53
2020-03-02,81,65,94,5,95,93,87,90,86,39,47,48,76,67,74
2020-03-03,88,66,100,4,100,86,84,85,87,38,47,51,76,79,100
2020-03-04,93,65,99,3,94,74,83,91,78,33,39,49,67,67,86
