date,debt,loan,job,unemployment,economics,inflation,sell,bonds,gold,stocks,dow jones,crisis,finance,risk,leverage
2020-03-05,83,61,100,3,91,89,86,95,85,36,41,53,70,72,89
2020-03-06,88,67,93,3,82,64,90,78,87,38,44,44,74,71,68
2020-03-07,62,57,71,2,44,52,95,51,91,23,7,35,30,51,73
2020-03-08,58,47,67,4,49,59,100,58,87,21,4,38,21,50,66
2020-03-09,80,66,96,5,86,77,94,100,100,78,80,50,98,73,94
2020-03-10,86,64,97,4,87,81,95,97,88,65,71,52,90,79,70
2020-03-11,84,61,90,4,85,72,84,89,83,56,67,54,84,86,61
2020-03-12,76,56,79,4,72,73,82,87,89,100,100,66,100,100,67
2020-03-13,75,67,72,6,53,56,81,75,85,97,94,71,99,90,72
2020-03-14,57,58,62,5,34,55,91,55,87,52,14,54,37,68,43
2020-03-15,57,60,62,9,42,52,93,61,86,44,9,60,30,79,54
2020-03-16,72,84,77,25,54,64,82,79,88,84,92,90,95,98,64
2020-03-17,74,70,80,36,64,60,79,66,82,79,86,88,88,89,61
2020-03-18,83,66,81,41,61,66,79,79,81,84,85,100,96,92,73
2020-03-19,80,67,80,43,67,66,81,77,79,82,78,92,92,92,72
2020-03-20,77,78,76,49,53,60,82,76,75,81,67,87,85,80,77
2020-03-21,66,68,67,32,46,60,90,61,80,53,13,76,39,65,49
2020-03-22,64,54,68,37,50,70,90,55,79,48,8,71,30,67,85
2020-03-23,83,74,88,64,71,77,84,85,79,66,70,99,84,82,83
2020-03-24,86,73,87,55,78,84,81,82,81,75,70,93,88,74,91
2020-03-25,100,78,80,63,72,100,77,77,82,79,73,80,94,76,79
2020-03-26,88,87,86,80,79,85,81,75,81,74,67,85,85,72,79
2020-03-27,92,92,81,75,77,70,82,72,82,64,62,76,76,74,82
2020-03-28,70,78,66,59,53,73,86,55,88,42,10,66,32,58,58
2020-03-29,69,69,64,63,47,70,93,54,83,37,6,73,30,59,59
2020-03-30,75,99,82,100,80,78,80,78,77,49,48,79,71,74,92
2020-03-31,78,100,84,95,80,81,83,80,75,49,46,83,68,77,86
2020-04-01,68,69,99,87,93,85,77,91,79,70,100,97,98,100,69
2020-04-02,78,78,100,91,100,85,80,92,79,71,100,100,99,100,57
2020-04-03,77,100,96,82,86,72,79,88,80,65,89,92,96,81,57
2020-04-04,57,66,75,55,60,64,89,75,85,48,17,82,45,83,52
2020-04-05,61,50,74,65,68,72,89,69,87,45,9,78,37,79,51
2020-04-06,71,74,89,90,94,98,79,90,79,65,87,88,90,82,58
2020-04-07,73,77,89,85,95,91,82,94,79,77,99,89,96,82,65
2020-04-08,80,67,94,77,91,76,83,96,77,74,93,87,94,80,68
2020-04-09,74,68,94,81,91,88,83,95,84,80,96,87,95,84,69
2020-04-10,86,70,88,71,83,73,84,86,85,54,56,73,74,75,56
2020-04-11,68,49,76,48,65,78,90,65,90,42,13,69,40,59,54
2020-04-12,58,37,70,62,64,76,87,64,85,43,8,62,32,59,54
2020-04-13,87,66,90,100,83,95,85,85,87,61,80,81,95,75,69
2020-04-14,85,69,95,87,95,91,85,95,86,76,79,89,96,83,70
2020-04-15,100,70,93,83,94,82,83,92,87,75,75,83,97,71,55
2020-04-16,100,73,91,74,86,89,87,100,87,72,76,84,100,80,47
2020-04-17,87,63,88,64,88,87,88,87,88,73,74,76,94,76,49
2020-04-18,69,46,72,47,62,72,95,67,92,48,14,61,44,55,61
2020-04-19,68,43,77,74,73,85,100,70,95,43,9,60,37,61,41
2020-04-20,77,60,90,88,93,94,86,95,89,100,73,81,100,71,53
2020-04-21,91,67,94,78,90,83,84,90,91,92,74,86,95,76,67
2020-04-22,81,65,93,73,85,87,89,100,89,74,67,83,87,77,55
2020-04-23,86,62,95,69,92,100,91,99,93,70,67,83,87,70,100
2020-04-24,77,65,92,59,90,93,85,87,89,67,62,79,85,71,81
2020-04-25,63,47,72,43,56,73,92,64,94,44,11,57,40,54,40
2020-04-26,64,42,75,71,62,75,98,68,100,39,6,57,35,58,61
2020-04-27,81,66,96,88,88,95,87,91,88,64,56,74,85,72,71
2020-04-28,82,62,94,75,94,94,90,94,91,69,65,71,85,75,61
2020-04-29,79,59,93,64,97,85,89,98,86,83,65,72,96,76,68
2020-04-30,83,59,97,59,87,85,92,93,90,76,64,75,93,72,61
2020-05-01,92,100,89,75,81,69,88,96,91,100,97,75,100,85,95
2020-05-02,72,75,71,55,65,51,97,73,97,61,16,54,51,64,76
2020-05-03,81,71,73,88,64,65,100,60,96,63,11,61,41,63,100
2020-05-04,94,94,89,99,96,64,86,100,88,81,95,73,93,91,70
2020-05-05,93,97,93,86,99,71,89,96,89,96,89,75,94,100,71
2020-05-06,97,93,93,72,85,67,90,100,91,97,94,74,97,90,99
2020-05-07,96,92,92,72,100,72,88,100,87,87,92,75,97,83,94
2020-05-08,90,92,84,67,89,59,88,82,89,91,90,72,89,83,70
2020-05-09,76,70,72,48,71,59,96,59,96,63,17,54,44,62,57
2020-05-10,69,59,66,76,57,54,98,64,92,56,10,48,35,56,79
2020-05-11,86,89,94,100,87,58,86,79,90,90,88,71,92,88,94
2020-05-12,100,88,100,85,94,73,93,88,88,86,90,73,96,91,70
2020-05-13,100,91,97,76,100,63,89,85,90,94,95,70,93,87,60
2020-05-14,87,88,93,68,94,53,87,96,92,90,99,66,93,91,70
2020-05-15,94,94,92,62,79,57,86,84,95,85,90,67,87,83,80
2020-05-16,80,76,73,51,52,43,96,55,96,58,16,53,41,59,63
2020-05-17,75,67,73,82,54,52,95,59,100,55,9,51,35,59,69
2020-05-18,96,88,98,96,85,59,88,69,93,100,97,63,95,77,93
2020-05-19,83,93,96,82,83,55,92,82,87,99,100,66,97,78,84
2020-05-20,81,84,97,75,96,60,88,68,92,94,90,71,95,77,78
2020-05-21,84,84,98,69,89,100,90,69,87,90,93,87,89,79,66
2020-05-22,76,86,91,60,73,49,86,61,91,81,83,87,86,76,61
2020-05-23,66,64,76,45,64,52,95,51,94,55,14,82,41,55,53
2020-05-24,48,59,70,77,48,42,99,53,98,51,8,75,32,56,51
2020-05-25,66,62,77,69,58,43,94,54,95,48,13,93,43,57,57
2020-05-26,79,79,98,92,64,51,91,66,89,87,91,100,96,77,67
2020-05-27,89,85,98,82,69,44,94,69,88,97,95,92,92,77,76
2020-05-28,81,89,99,68,73,41,89,65,85,90,95,94,93,83,74
2020-05-29,72,83,91,58,66,39,85,74,84,82,87,85,86,70,70
2020-05-30,55,63,69,41,45,41,86,49,87,51,16,72,41,50,65
2020-05-31,53,58,67,71,47,45,91,66,84,46,9,70,34,54,60
2020-06-01,83,79,76,100,88,77,76,60,79,44,61,97,79,74,91
2020-06-02,83,77,77,82,81,92,77,65,79,53,61,97,78,74,81
2020-06-03,86,78,82,74,88,90,81,58,81,63,65,89,85,84,79
2020-06-04,88,88,84,66,84,80,82,65,83,67,67,90,83,87,69
2020-06-05,92,79,85,67,81,79,87,64,85,85,85,86,92,81,64
2020-06-06,79,64,70,46,68,79,91,54,90,52,15,76,42,54,89
2020-06-07,71,58,70,85,67,75,93,52,92,47,8,85,32,64,72
2020-06-08,85,85,89,94,100,88,90,60,86,90,71,92,91,84,86
2020-06-09,96,82,91,79,89,67,95,58,89,100,78,88,92,85,75
2020-06-10,92,78,92,69,94,100,86,63,88,79,70,100,92,84,73
2020-06-11,97,88,86,62,80,75,89,69,92,82,98,98,100,92,66
2020-06-12,89,74,81,56,86,90,90,63,88,65,100,78,95,82,70
2020-06-13,73,64,65,42,53,75,91,43,94,38,15,74,37,62,64
2020-06-14,71,60,67,82,70,71,94,57,92,36,8,82,35,66,69
2020-06-15,93,86,86,95,83,83,85,100,86,57,81,81,91,90,100
2020-06-16,97,93,90,79,81,86,89,85,89,63,84,87,90,89,91
2020-06-17,98,89,87,70,79,83,91,71,90,57,76,90,75,95,80
2020-06-18,100,96,100,59,68,72,88,64,88,55,69,85,77,99,87
2020-06-19,85,85,80,55,72,75,88,54,89,55,68,83,76,86,84
2020-06-20,70,68,66,39,62,85,93,44,92,32,12,76,36,62,65
2020-06-21,65,57,62,79,58,98,91,55,88,29,7,63,29,64,95
2020-06-22,88,88,85,96,79,96,85,66,88,49,64,72,73,99,86
2020-06-23,90,95,88,78,82,87,89,63,87,54,65,73,76,94,83
2020-06-24,93,94,87,67,69,82,85,64,87,53,71,72,75,100,92
2020-06-25,93,99,84,63,83,89,90,63,88,49,73,67,80,99,63
2020-06-26,85,90,78,58,65,82,88,55,86,50,74,66,77,99,89
2020-06-27,75,70,65,45,56,82,93,46,92,32,13,64,36,71,51
2020-06-28,69,64,68,87,71,72,100,52,100,29,7,67,32,72,64
2020-06-29,89,94,81,94,63,81,85,57,89,46,66,72,72,96,81
2020-06-30,92,100,85,80,85,83,89,70,89,50,70,75,70,91,76
2020-07-01,87,84,96,75,84,83,89,100,72,89,99,100,96,81,85
2020-07-02,79,85,90,67,94,87,88,88,73,86,100,93,96,83,80
2020-07-03,70,69,76,55,81,60,88,73,75,60,50,84,63,63,58
2020-07-04,60,53,64,35,65,84,85,69,74,44,12,72,38,51,78
2020-07-05,63,55,71,91,74,84,87,73,72,47,8,67,36,63,56
2020-07-06,77,82,95,100,85,96,85,89,71,86,88,85,100,91,77
2020-07-07,94,100,100,84,94,83,86,93,73,96,89,90,97,96,100
2020-07-08,88,93,100,70,88,90,85,96,77,93,89,91,94,95,79
2020-07-09,91,93,97,61,86,74,85,90,77,93,91,93,97,100,69
2020-07-10,84,84,90,57,92,87,86,85,76,91,86,85,97,87,60
2020-07-11,72,70,75,41,69,89,94,78,76,62,15,73,44,65,85
2020-07-12,74,65,72,87,80,76,91,63,75,58,8,83,40,68,78
2020-07-13,85,84,94,94,87,95,86,86,76,94,91,86,96,86,66
2020-07-14,90,85,95,83,100,94,92,89,75,90,95,93,98,94,71
2020-07-15,90,87,98,67,89,83,84,90,73,100,94,84,99,95,86
2020-07-16,90,87,95,60,92,89,90,92,71,86,87,73,93,96,78
2020-07-17,87,77,91,53,84,82,84,86,79,83,84,77,93,87,78
2020-07-18,73,59,73,41,62,71,91,65,79,58,14,77,44,58,53
2020-07-19,69,55,78,81,82,89,90,71,77,55,8,77,35,59,61
2020-07-20,85,79,94,96,98,98,88,83,75,86,80,78,94,78,100
2020-07-21,83,77,99,84,83,96,90,90,80,98,88,81,93,83,70
2020-07-22,97,80,99,72,92,92,88,93,83,96,84,87,98,86,83
2020-07-23,100,82,93,68,84,100,87,81,86,91,85,95,91,85,87
2020-07-24,87,73,86,63,76,91,93,83,88,77,80,75,89,79,74
2020-07-25,70,60,73,46,65,92,100,76,90,54,13,67,40,62,66
2020-07-26,73,51,72,84,75,76,98,79,89,47,7,76,35,54,85
2020-07-27,82,78,93,95,81,96,82,84,93,78,77,82,91,80,94
2020-07-28,92,81,97,79,84,93,89,97,100,83,77,89,90,83,92
2020-07-29,90,81,97,66,83,94,91,82,94,93,75,80,93,79,75
2020-07-30,88,82,96,60,91,87,87,74,88,96,86,80,99,87,55
2020-07-31,80,73,86,57,100,83,86,69,87,91,78,84,98,83,69
2020-08-01,75,71,71,42,34,67,92,51,96,55,16,75,46,52,54
2020-08-02,84,66,72,81,28,67,98,52,94,54,8,73,39,53,81
2020-08-03,94,93,97,80,46,62,99,66,91,87,82,79,100,65,86
2020-08-04,92,97,97,66,50,72,91,69,95,87,83,83,95,72,68
2020-08-05,93,96,94,59,46,78,90,63,98,96,83,80,100,67,75
2020-08-06,100,100,96,53,56,67,90,69,100,95,90,88,98,74,79
2020-08-07,95,92,91,52,44,73,94,73,95,93,92,85,96,61,69
2020-08-08,81,85,78,61,32,73,96,62,94,61,17,64,45,50,73
2020-08-09,90,74,75,100,40,67,100,52,91,55,7,75,38,47,76
2020-08-10,88,88,97,90,51,64,94,63,92,86,83,82,97,67,85
2020-08-11,95,96,98,69,56,69,89,68,93,100,100,100,96,82,86
2020-08-12,94,89,98,58,57,63,86,66,92,86,96,92,94,100,85
2020-08-13,94,91,100,52,51,65,89,69,91,82,92,90,96,88,76
2020-08-14,88,84,89,46,54,56,88,64,90,73,88,68,91,80,73
2020-08-15,73,69,69,36,35,60,95,46,92,50,14,77,45,67,62
2020-08-16,74,61,75,68,40,64,99,52,93,51,7,83,37,67,62
2020-08-17,84,86,96,70,60,62,89,59,93,76,80,81,90,77,60
2020-08-18,87,91,99,60,77,57,89,67,90,79,81,77,92,86,82
2020-08-19,96,80,99,54,70,61,87,71,85,82,78,85,90,80,100
2020-08-20,99,89,95,49,73,52,81,78,84,73,75,86,89,93,54
2020-08-21,91,79,93,48,79,56,87,84,84,78,74,80,89,82,85
2020-08-22,67,69,72,41,37,56,100,60,86,58,13,75,43,58,62
2020-08-23,75,59,74,67,44,58,95,55,85,52,6,71,36,63,94
2020-08-24,85,74,96,69,84,59,87,80,80,79,75,76,90,78,76
2020-08-25,85,76,98,61,88,68,87,83,77,76,83,84,92,81,76
2020-08-26,83,75,99,55,98,74,89,96,78,84,75,85,88,80,78
2020-08-27,93,86,98,49,100,93,83,87,79,78,79,91,91,84,73
2020-08-28,82,76,90,45,89,100,82,100,82,80,81,80,89,70,75
2020-08-29,72,62,71,36,49,72,93,65,83,61,13,69,44,60,66
2020-08-30,58,59,77,78,54,74,95,72,91,56,7,71,40,61,53
2020-08-31,83,73,97,69,98,75,85,99,81,97,74,78,96,81,77
2020-09-01,79,95,96,87,86,72,94,76,90,100,65,74,95,89,64
2020-09-02,81,99,96,75,80,89,90,86,94,98,71,64,98,90,65
2020-09-03,95,100,92,67,81,82,93,89,93,99,93,66,100,96,80
2020-09-04,73,84,82,64,78,65,88,78,94,91,100,62,97,82,52
2020-09-05,70,79,65,46,44,69,98,54,100,53,17,70,49,61,60
2020-09-06,66,66,68,89,40,74,100,61,97,47,7,62,38,67,69
2020-09-07,66,73,76,88,54,65,96,69,96,48,13,66,45,65,67
2020-09-08,74,85,91,92,82,73,88,84,90,75,79,77,96,83,69
2020-09-09,74,85,93,84,87,77,87,89,87,73,81,86,95,92,82
2020-09-10,78,96,97,73,97,84,82,94,89,72,75,84,94,96,65
2020-09-11,71,87,90,74,90,74,83,87,87,62,73,79,91,87,65
2020-09-12,67,82,73,52,49,75,99,61,95,41,13,59,44,69,64
2020-09-13,57,65,68,92,45,72,97,61,90,45,6,69,36,66,52
2020-09-14,81,86,96,100,96,83,86,94,84,64,64,77,88,91,82
2020-09-15,79,90,98,86,90,82,83,92,89,72,70,79,91,88,79
2020-09-16,80,87,99,75,81,96,86,94,86,69,68,78,90,98,61
2020-09-17,85,89,98,65,87,100,90,90,88,68,66,92,95,95,59
2020-09-18,76,85,90,64,85,81,87,92,88,67,65,81,91,85,66
2020-09-19,62,70,68,46,43,75,92,54,93,39,11,64,44,67,43
2020-09-20,64,61,69,84,50,74,92,65,91,39,5,59,35,68,61
2020-09-21,77,83,96,89,79,87,84,95,89,64,81,84,94,89,88
2020-09-22,90,82,96,78,92,86,86,98,86,64,77,78,87,90,82
2020-09-23,87,88,100,67,89,94,86,100,92,68,75,79,93,87,67
2020-09-24,89,93,100,54,100,90,84,96,91,64,76,82,90,94,100
2020-09-25,76,77,90,54,74,88,88,86,88,59,72,84,82,83,64
2020-09-26,62,74,64,38,47,66,97,53,95,43,13,55,48,59,52
2020-09-27,59,64,70,78,33,69,96,53,92,37,5,67,35,58,67
2020-09-28,97,87,95,84,79,84,84,92,90,57,67,83,83,100,81
2020-09-29,99,89,100,70,73,85,87,90,90,61,71,100,87,88,76
2020-09-30,100,90,97,64,77,92,83,89,85,58,76,83,87,93,78
2020-10-01,82,91,94,68,91,88,86,95,92,85,63,96,96,93,76
2020-10-02,79,82,84,61,83,87,80,98,97,100,94,83,100,92,67
2020-10-03,59,73,65,43,59,75,94,60,94,56,14,68,46,57,62
2020-10-04,59,63,65,96,48,68,92,56,91,50,6,66,37,62,71
2020-10-05,77,87,93,100,100,80,87,91,90,84,66,86,90,92,88
2020-10-06,89,80,99,81,89,90,86,90,90,99,82,89,91,90,81
2020-10-07,84,85,95,70,93,87,87,93,89,91,77,91,88,89,87
2020-10-08,100,93,93,58,94,85,82,97,92,90,70,95,90,93,68
2020-10-09,83,86,87,56,71,90,89,92,93,87,72,81,95,80,79
2020-10-10,67,71,66,40,47,65,90,50,96,61,12,62,45,54,57
2020-10-11,63,62,67,92,42,66,100,59,87,53,5,62,35,65,69
2020-10-12,72,84,89,88,84,81,90,83,93,97,65,84,89,79,78
2020-10-13,76,87,93,88,79,89,89,87,90,95,73,91,91,86,83
2020-10-14,76,89,95,75,68,87,92,84,92,89,70,86,92,93,100
2020-10-15,82,100,89,61,70,85,87,85,90,96,71,91,94,95,81
2020-10-16,81,86,85,56,76,75,90,92,95,88,68,84,92,79,75
2020-10-17,61,71,65,39,41,68,99,55,99,56,11,70,43,62,64
2020-10-18,60,60,66,89,47,65,98,56,92,57,5,71,36,60,64
2020-10-19,75,83,94,93,71,96,92,96,91,84,67,84,87,84,90
2020-10-20,79,85,99,78,73,85,90,90,88,91,75,89,92,90,81
2020-10-21,79,89,100,67,75,90,91,96,91,87,71,100,93,82,84
2020-10-22,79,96,94,59,82,100,95,86,91,90,66,93,93,100,73
2020-10-23,76,87,83,52,66,86,87,85,91,80,64,91,87,75,80
2020-10-24,54,66,65,34,48,61,96,60,99,54,9,56,42,55,48
2020-10-25,51,58,68,83,41,73,92,49,100,49,5,70,35,56,57
2020-10-26,73,83,87,84,61,86,89,85,90,85,83,90,96,88,69
2020-10-27,81,84,94,68,67,85,91,83,90,83,85,92,92,86,73
2020-10-28,80,85,95,60,71,85,94,100,94,87,100,95,92,88,76
2020-10-29,83,92,89,52,75,86,95,86,90,94,99,96,99,94,79
2020-10-30,72,83,82,46,64,85,89,81,87,84,91,79,99,82,62
2020-10-31,48,64,60,31,40,73,92,68,90,57,14,64,42,56,78
2020-11-01,52,60,63,95,51,75,86,53,76,31,6,72,30,58,58
2020-11-02,79,86,90,96,92,100,85,88,74,52,66,91,77,92,63
2020-11-03,93,83,85,70,85,79,77,78,72,61,74,83,80,85,91
2020-11-04,51,52,59,42,49,63,48,55,48,43,57,66,55,50,52
2020-11-05,69,71,69,42,69,78,64,66,57,53,54,68,62,70,55
2020-11-06,64,66,71,42,66,86,68,71,65,55,56,68,65,71,84
2020-11-07,60,63,67,31,58,57,75,44,71,43,14,69,38,47,54
2020-11-08,78,61,79,84,50,88,84,49,78,41,7,72,30,56,55
2020-11-09,88,86,97,93,100,94,90,87,82,94,100,97,100,90,62
2020-11-10,90,91,100,74,90,91,92,89,80,88,78,94,90,89,72
2020-11-11,85,89,93,65,92,98,86,79,82,68,67,94,77,85,75
2020-11-12,89,97,89,62,99,81,93,78,84,67,58,96,80,100,85
2020-11-13,76,85,85,55,80,85,96,90,83,70,59,93,82,94,84
2020-11-14,67,69,69,38,49,64,91,55,88,46,12,92,40,65,62
2020-11-15,61,62,69,88,46,70,100,54,86,44,6,78,32,69,58
2020-11-16,93,94,93,97,73,100,92,94,80,71,70,95,91,97,95
2020-11-17,100,95,95,76,89,86,89,100,82,82,67,97,85,99,100
2020-11-18,99,98,97,68,88,97,89,88,85,80,64,100,85,99,98
2020-11-19,82,100,91,60,91,96,86,92,81,71,58,97,83,98,68
2020-11-20,75,91,86,54,80,83,91,93,79,72,58,83,81,90,64
2020-11-21,58,73,68,41,56,77,95,56,88,52,11,71,39,63,67
2020-11-22,59,61,62,89,47,66,95,48,86,45,5,73,30,64,68
2020-11-23,62,87,83,100,72,73,95,76,85,75,52,84,79,89,89
2020-11-24,74,88,86,78,78,90,91,73,85,100,75,82,88,84,77
2020-11-25,63,81,74,63,48,73,86,61,85,91,65,83,81,74,59
2020-11-26,49,61,53,33,26,64,86,39,81,55,14,54,35,46,35
2020-11-27,55,68,56,45,36,68,90,43,95,70,44,57,66,47,54
2020-11-28,55,67,59,39,40,59,96,46,100,54,10,67,38,55,39
2020-11-29,61,61,66,88,40,67,90,44,94,50,5,67,31,56,61
2020-11-30,80,88,85,97,66,100,90,77,95,78,49,90,82,76,73
2020-12-01,89,96,97,100,77,91,98,88,94,97,100,85,100,89,51
2020-12-02,99,94,100,91,94,100,96,91,95,91,95,81,94,94,100
2020-12-03,99,100,97,87,88,87,100,89,91,88,95,100,100,100,61
2020-12-04,100,93,93,78,100,90,95,100,96,100,92,81,95,90,56
2020-12-05,60,79,72,55,45,95,100,60,100,64,19,68,54,70,65
